NR_157672	Chitinophaga
NR_157671	Arboricoccus
NR_157670	Alishewanella
NR_157669	Erythrobacter
NR_157668	Paracoccus
NR_157667	Novosphingobium
NR_157666	Kiloniella
NR_157665	Roseomonas
NR_157664	Kingella
NR_157663	Thiorhodococcus
NR_157662	Rhizobium
NR_157661	Mesorhizobium
NR_157660	Perlucidibaca
NR_157659	Thalassotalea
NR_157658	Paraglaciecola
NR_157657	Bradyrhizobium
NR_157656	Paucibacter
NR_157655	Thalassotalea
NR_157654	Roseobacter
NR_157653	Bombella
NR_157652	Cysteiniphilum
NR_157651	Sphingomonas
NR_157650	Phaeobacter
NR_157649	Ehrlichia
NR_157648	Thioclava
NR_157647	Rhizobium
NR_157646	Aliidiomarina
NR_157645	Herpetosiphon
NR_157644	Herpetosiphon
NR_157643	Treponema
NR_157642	Merdimonas
NR_157641	Sporolactobacillus
NR_157640	Paenibacillus
NR_157639	Clostridium
NR_157638	Paenibacillus
NR_157637	Lysinibacillus
NR_157636	Bacillus
NR_157635	Megasphaera
NR_157634	Sporosarcina
NR_157633	Muricauda
NR_157632	Flavobacterium
NR_157631	Algoriphagus
NR_157630	Flaviramulus
NR_157629	Sphingobacterium
NR_157628	Parafilimonas
NR_157627	Bizionia
NR_157626	Flavitalea
NR_157625	Flavobacterium
NR_157624	Olleya
NR_157623	Algibacter
NR_157622	Hymenobacter
NR_157621	Flavobacterium
NR_157620	Parapedobacter
NR_157619	Salinarchaeum
NR_157618	Natrinema
NR_157617	Galliscardovia
NR_157616	Puzihella
NR_157615	Lentzea
NR_157614	Bifidobacterium
NR_157613	Nocardioides
NR_157612	Mobilicoccus
NR_157611	Leucobacter
NR_157610	Arcanobacterium
NR_157609	Bacillus
NR_157608	Bacillus
NR_157607	Acinetobacter
NR_157606	Acinetobacter
NR_157602	Leuconostoc
NR_108250	Paenibacillus
NR_157018	Reyranella
NR_157017	Saccharospirillum
NR_157016	Blastomonas
NR_157015	Oceanisphaera
NR_157014	Colwellia
NR_157013	Delftia
NR_157012	Imhoffiella
NR_157011	Photobacterium
NR_157010	Agrobacterium
NR_157009	Shewanella
NR_157008	Noviherbaspirillum
NR_157007	Noviherbaspirillum
NR_157006	Pseudorhodobacter
